voltage,capacity,SoC
3.5143,31.5,1.453220151
3.5146,31.5,1.453220151
3.5146,31.6,1.457833549
3.515,31.6,1.457833549
3.515,31.6,1.457833549
3.5153,31.7,1.462446946
3.5153,31.7,1.462446946
3.5159,31.8,1.467060343
3.5159,31.8,1.467060343
3.5162,31.8,1.467060343
3.5162,31.9,1.471673741
3.5162,31.9,1.471673741
3.5165,31.9,1.471673741
3.5165,32,1.476287138
3.5168,32,1.476287138
3.5168,32,1.476287138
3.5171,32.1,1.480900535
3.5171,32.1,1.480900535
3.5171,32.2,1.485513932
3.5174,32.2,1.485513932
3.5174,32.2,1.485513932
3.5177,32.3,1.49012733
3.5177,32.3,1.49012733
3.5181,32.3,1.49012733
3.5181,32.4,1.494740727
3.5184,32.4,1.494740727
3.5184,32.4,1.494740727
3.5184,32.5,1.499354124
3.5187,32.5,1.499354124
3.5187,32.5,1.499354124
3.519,32.6,1.503967522
3.519,32.6,1.503967522
3.5193,32.7,1.508580919
3.5193,32.7,1.508580919
3.5196,32.7,1.508580919
3.5196,32.8,1.513194316
3.5196,32.8,1.513194316
3.5199,32.8,1.513194316
3.5199,32.9,1.517807714
3.5202,32.9,1.517807714
3.5202,32.9,1.517807714
3.5205,33,1.522421111
3.5205,33,1.522421111
3.5205,33.1,1.527034508
3.5208,33.1,1.527034508
3.5208,33.1,1.527034508
3.5212,33.2,1.531647906
3.5212,33.2,1.531647906
3.5215,33.2,1.531647906
3.5215,33.3,1.536261303
3.5218,33.3,1.536261303
3.5218,33.3,1.536261303
3.5218,33.4,1.5408747
3.5221,33.4,1.5408747
3.5221,33.4,1.5408747
3.5224,33.5,1.545488097
3.5224,33.5,1.545488097
3.523,33.6,1.550101495
3.523,33.6,1.550101495
3.523,33.6,1.550101495
3.5233,33.7,1.554714892
3.5233,33.7,1.554714892
3.5236,33.7,1.554714892
3.5236,33.8,1.559328289
3.5239,33.8,1.559328289
3.5239,33.8,1.559328289
3.5239,33.9,1.563941687
3.5243,33.9,1.563941687
3.5243,34,1.568555084
3.5246,34,1.568555084
3.5246,34,1.568555084
3.5249,34.1,1.573168481
3.5249,34.1,1.573168481
3.5249,34.1,1.573168481
